source_name
Baltimore Sun
Bloomberg
The Boston Globe
Chicago Tribune
CNBC
CNN
The Telegraph
Forbes
Los Angeles Times
The New York Times
San Francisco Chronicle
SEC.gov
The Economist
The Guardian
Financial Times
The Hill
The Washington Post
USA TODAY
The Wall Street Journal
BBC.com
Reuters
